날짜,사용자 이름,리뷰,평점,도움
"March 14, 2018",Scattered Energy,"Scattered Energy5.0 out of 5 stars
Another Beautiful Palette from Maybelline
Reviewed in the United States on March 14, 2018Color: 02 THE NUDESVerified Purchase

  I LOVE, LOVE all these Maybelline NUDES palettes!  This one is gorgeous.  Wonderful well pigmented, neutral colors that I think look good with all eye colors.  They wear well too.  I think I only have two palettes more to have them all.  They're getting harder to find though.  I hope Maybelline doesn't stop making them.


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,One person found this helpful
"August 13, 2020",christine primm,"christine primm5.0 out of 5 stars
Beautiful 😍 palette!!
Reviewed in the United States on August 13, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  This palette is absolutely beautiful. The colors are pretty and feminine. They go on very well and stay on for a good long while. Its versatile and youve got alot of options especially for a soft and sweet look..This is a great palette to add to your collection. Give this a try!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"April 9, 2020",Rosemaryc5,"Rosemaryc53.0 out of 5 stars
Pretty but not very pigmneted
Reviewed in the United States on April 9, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  I love maybelline but they didnt exactly hit the mark with this set. I feel like i am struggling to get the color on my eyes. Its really not very pigmented. They have better eye sets. Not sure what happened with this one




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",3,0 people found this helpful
"April 17, 2021",erin zwolinski,"erin zwolinski4.0 out of 5 stars
Decent for the price
Reviewed in the United States on April 17, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  For the price it is good eyeshadow. Not super pigmented but with a good eye primer (I use e.l.f.) it lasts most of the day. Good for a subtle nude look which is what I usually go for.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",4,0 people found this helpful
"July 22, 2019",Mina,"Mina4.0 out of 5 stars
Regular Palette
Reviewed in the United States on July 22, 2019Color: 02 THE NUDESVerified Purchase

  I ordered this palette and was disappointed that it got damaged during shipping. I like the colors and since only one color got damaged I am not going to return it.  It does, however, feel a little cheap. I will see how I like it after I use it for a couple of times, because I do not wear make up every day.


















4.0 out of 5 stars

                Regular Palette
            


            
              
                  By Mina on July 22, 2019
              
              
            


            


            I ordered this palette and was disappointed that it got damaged during shipping. I like the colors and since only one color got damaged I am not going to return it.  It does, however, feel a little cheap. I will see how I like it after I use it for a couple of times, because I do not wear make up every day.
        


                Images in this review
            











One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",4,One person found this helpful
"June 11, 2021",JH,"JH3.0 out of 5 stars
You get what you pay for I guess.
Reviewed in the United States on June 11, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  I bought this because it's not a common color scheme in drugstore makeup but don't bother.  It's just a waste of space.  Even if you prime with white primer it's invisible.  Shimmer shadows aren't shimmery and disappears in hours. Don't bother.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",3,0 people found this helpful
"August 27, 2015",Jillie0808,"Jillie08083.0 out of 5 stars
just ok
Reviewed in the United States on August 27, 2015Color: 06 THE BLUSHED NUDESVerified Purchase

  best to use a eye primer.  I use Urban Decay original formula eye primer.  When used with this, the colors will last all day.  A lot of the colors are shimmery, only one or two could be called matte or satin.  I didn't realize that when I bought it, or I probably wouldn't have.  I use it but probably won't repurchase.  I do like that maybelline is trying to market a palette.  I get frustrated with the quads.  You usually have a least one color you don't use thus making your purchase more costly.  With a palette you do have more options.


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",3,One person found this helpful
"June 8, 2019",NikkiMarie,"NikkiMarie2.0 out of 5 stars
Garbage!!
Reviewed in the United States on June 8, 2019Color: 06 THE BLUSHED NUDESVerified Purchase

  My daughter had a Soap & Glory pallet that I loved! It’s no longer avail. I saw this and it seemed so similar. Boy was I wrong! The consistency of the shadow is terrible!!! No pigment at all and doesn’t last. Doesn’t seem like Maybelline make up at all, was more like dollar store crap! Save your money!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",2,0 people found this helpful
"August 8, 2020",Dawn Davis,"Dawn Davis5.0 out of 5 stars
All colors look the same when applied
Reviewed in the United States on August 8, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  Item came with one color square broken up.After using these colors a few times I’ve noticed they almost all look like the same color.  Had I known I wouldn’t have bought it.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"December 25, 2020",Brooke Gray,"Brooke Gray5.0 out of 5 stars
Price is good and good for travel
Reviewed in the United States on December 25, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  Good for travel and small suitcase travel, colors are neutral enough to get small shade of eyeshadow and that works for me. Would say price is good for what I received.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"August 6, 2020",Bkelley,"Bkelley2.0 out of 5 stars
It’s everywhere!
Reviewed in the United States on August 6, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  The eye shadow is all over the package. Was wrapped in bubble wrap but put into a way too big of a box. No doubt it got shook up too much. It’s got broken pieces in the shadows.


















2.0 out of 5 stars

                It’s everywhere!
            


            
              
                  By Bkelley on August 6, 2020
              
              
            


            


            The eye shadow is all over the package. Was wrapped in bubble wrap but put into a way too big of a box. No doubt it got shook up too much. It’s got broken pieces in the shadows.
        


                Images in this review
            












          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",2,0 people found this helpful
"May 23, 2020",jaslanglois,"jaslanglois5.0 out of 5 stars
Great pallet
Reviewed in the United States on May 23, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  there's not a lot of follow-up at all it blends well I'm not an expert at doing my makeup I'm kind of getting into it more and more I will say that it's a really easy to use product it's colors are beautiful there's a ton of different ways to wear it




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"August 25, 2015",Sara,"Sara5.0 out of 5 stars
Great palette
Reviewed in the United States on August 25, 2015Color: 02 THE NUDESVerified Purchase

  This palette is great if you want a Naked palette but don't want to (or can't afford to) spend the money. It is more towards the low end scale for makeup so you can't expect it to be perfect, but the colors are pigmented and go on great, blend easily. You may have to build it up a bit to get the color as shown in the palette but I don't mind it. Helps to use a primer before hand, if you can use a white one even better. Has a nice range of colors, though, and I like how it's set up to be used as duo, trio, and quads. Very good for beginners! Love this palette for everyday looks




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"July 11, 2020",Taco Talk,"Taco Talk5.0 out of 5 stars
Sheer shiny lovely
Reviewed in the United States on July 11, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  I absolutely love this product and was so surprised that it came so quickly with such a fair price. The colors are so nice and shiny in a play and very smooth I recommend using a primer.


















5.0 out of 5 stars

                Sheer shiny lovely
            


            
              
                  By Taco Talk on July 11, 2020
              
              
            


            


            I absolutely love this product and was so surprised that it came so quickly with such a fair price. The colors are so nice and shiny in a play and very smooth I recommend using a primer.
        


                Images in this review
            
















          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"June 22, 2015",Reviews 4 U,"Reviews 4 UTop Contributor: Makeup5.0 out of 5 stars
Fantastic pallet!
Reviewed in the United States on June 22, 2015Color: 06 THE BLUSHED NUDESVerified Purchase

  I'm thoroughly impressed with this pallet! All and I mean all the colors are beautiful! I'd say their medium to high pigmentation depending on shade and some of the liter shades are more sheer, but provide a soft wash of shimmering color. Only one shade is Matte. Colors are pinks, maybes, rose gold/coppery to deeper plums and a light and medium gray. The price can't be beat. I typically use high end cosmetics, UD, BAREMINERALS, TOO FACED. This pallet competes VERY WELL. I think I'll order a backup.


3 people found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,3 people found this helpful
"January 3, 2021",SoccerHoopsMom,"SoccerHoopsMom5.0 out of 5 stars
My favorite color palette
Reviewed in the United States on January 3, 2021Color: 02 THE NUDESVerified Purchase

  Colors are very pigmented and easy to blend. My favorite neutral color palette. Timeless. Been using it for years and hope it never gets discontinued.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
